Tour,City
Spring 2016,"Leuven, Belgium"
Fall 2016,"Denver, Colorado, USA"
Fall 2016,"Grand Junction, Colorado, USA"
Fall 2016,"Pueblo, Colorado, USA"
Fall 2016,"Billings, Montana, USA"
Fall 2016,"Aurora, Colorado , USA"
Fall 2016,"Salt Lake City, Utah, USA"
Fall 2016,"Sacramento, California, USA"
Fall 2016,"Naucalpan, Mexico"
Fall 2016,"Xochitla, Mexico"
Fall 2016,"Toluca, Mexico"
Fall 2016,"Eskilstuna, Sweden"
Fall 2016,"Sigtuna, Sweden"
Fall 2016,"Kouvola, Finland"
Fall 2016,"Espoo, Finland"
Fall 2016,"Jyväskylä, Finland"
Fall 2016,"Tallinn, Estonia"
Spring 2017,"Denver, Colorado, USA"
Spring 2017,"Aurora, Colorado, USA"
Spring 2017,"Albuquerque, New Mexico, USA"
Spring 2017,"Tucson, Arizona, USA"
Spring 2017,"Orange County, California, USA"
Spring 2017,"Coachella Valley, California, USA"
Spring 2017,"Farmington, New Mexico, USA"
Spring 2017,"Permian Basin, Texas, USA"
Spring 2017,"Houston, Texas, USA"
Spring 2017,"Leiden, Netherlands"
Spring 2017,"Son en Breugel, Netherlands"
Spring 2017,"Limburg (Genk), Belgium"
Spring 2017,"Geneva, Switzerland"
Spring 2017,"Basel, Switzerland"
Spring 2017,"Bulach, Switzerland"
Spring 2017,"Bocholt, Germany"
Fall 2017,"Denver, Colorado, USA"
Fall 2017,"Zionsville, Indiana, USA"
Fall 2017,"Chagrin Valley, Ohio, USA"
Fall 2017,"Northern Rhode Island, USA"
Fall 2017,"Portsmouth, New Hampsire, USA"
Fall 2017,"Harrisonburg, Virginia, USA"
Fall 2017,"Washington, D.C., USA"
Fall 2017,"Naucalpan/Mexico City, Mexico"
Fall 2017,"Querétaro, Mexico"
Fall 2017,"Monterrey, Mexico"
Fall 2017,"Stuttgart, Germany"
Fall 2017,"Wartenberg, Germany"
Fall 2017,"Donaueschingen, Germany"
Fall 2017,"Apeldoorn, Netherlands"
Fall 2017,"Zutphen, Netherlands"
Fall 2017,"Rome, Italy"
Spring 2018,"Denver, Colorado, USA"
Spring 2018,"Broomfield, Colorado, USA"
Spring 2018,"Venice, Florida, USA"
Spring 2018,"Brevard County, Florida, USA"
Spring 2018,"Vero Beach, Florida, USA"
Spring 2018,"Glynn County, Georgia, USA"
Spring 2018,"Playa Del Carmen, Mexico"
Spring 2018,"Campeche Capital, Mexico"
Spring 2018,"Merida, Mexico"
Spring 2018,"Cancun, Mexico"
Spring 2018,"Hamburg, Germany"
Spring 2018,"Naestved, Denmark"
Spring 2018,"Bruges, Belgium"
Spring 2018,"Gjakova, Kosovo"
Fall 2018,"Denver, Colorado, USA"
Fall 2018,"Grand Island, Nebraska, USA"
Fall 2018,"North Platte, Nebraska, USA"
Fall 2018,"Sioux Falls, South Dakota, USA"
Fall 2018,"Salina, Kansas, USA"
Fall 2018,"Stillwater, Oklahoma, USA"
Fall 2018,"Houston, Texas, USA"
Fall 2018,"Torreón, Mexico"
Fall 2018,"Durango City, Mexico"
Fall 2018,"Zacatecas City, Mexico"
Fall 2018,"San Luis Potosí, Mexico"
Fall 2018,"Jonkoping, Sweden"
Fall 2018,"Stockholm, Sweden"
Fall 2018,"Helsingborg, Sweden"
Fall 2018,"Struer, Denmark"
Fall 2018,"Helsingør, Denmark"
Spring 2019,"Greeley, CO, USA"
Spring 2019,"Eerie, CO, USA"
Spring 2019,"Grand Junction, CO, USA"
Spring 2019,"Las Vegas, NV, USA"
Spring 2019,"Sacramento/Modesto, CA, USA"
Spring 2019,"Olympia, WA, USA"
Spring 2019,"Celaya, Mexico"
Spring 2019,"Naucalpan, Mexico"
Spring 2019,"Metapec, Mexico"
Spring 2019,"Mexico City, Mexico"
Spring 2019,"Edegem, Belgium"
Spring 2019,"Gistel, Belgium"
Spring 2019,"Kinrooi, Belgium"
Spring 2019,"Bocholt, Germany"
Spring 2019,"Skive, Denmark"
